SUCETIVEIS, INFECTADOS, REMOVIDOS, TEMPO
68.0,2.0,0.0,0.0
67.986397,2.011327,0.002273,0.1
67.972725,2.022716,0.004558,0.2
67.958977,2.034167,0.006857,0.3
67.945152,2.045679,0.009168,0.4
67.931252,2.057254,0.011493,0.5
67.917274,2.068891,0.013831,0.6
67.903221,2.080592,0.016182,0.7
67.889091,2.092355,0.018546,0.8
67.874886,2.104182,0.020924,0.9
67.860603,2.116073,0.023315,1.0
67.846245,2.128029,0.025720,1.1
67.831810,2.140048,0.028138,1.2
67.817291,2.152133,0.030570,1.3
67.802696,2.164282,0.033015,1.4
67.788025,2.176497,0.035475,1.5
67.773270,2.188778,0.037948,1.6
67.758438,2.201125,0.040435,1.7
67.743523,2.213538,0.042937,1.8
67.728531,2.226018,0.045452,1.9
67.713455,2.238565,0.047981,2.0
67.698296,2.251179,0.050525,2.1
67.683052,2.263861,0.053083,2.2
67.667732,2.276611,0.055656,2.3
67.652328,2.289429,0.058243,2.4
67.636841,2.302316,0.060845,2.5
67.621269,2.315272,0.063461,2.6
67.605614,2.328298,0.066092,2.7
67.589874,2.341393,0.068738,2.8
67.574051,2.354557,0.071398,2.9
67.558144,2.367792,0.074074,3.0
67.542145,2.381098,0.076765,3.1
67.526062,2.394475,0.079471,3.2
67.509895,2.407923,0.082192,3.3
67.493637,2.421442,0.084928,3.4
67.477295,2.435034,0.087679,3.5
67.460861,2.448698,0.090447,3.6
67.444344,2.462434,0.093229,3.7
67.427734,2.476243,0.096027,3.8
67.411041,2.490126,0.098841,3.9
67.394257,2.504083,0.101671,4.0
67.377380,2.518113,0.104516,4.1
67.360413,2.532218,0.107378,4.2
67.343353,2.546398,0.110256,4.3
67.326202,2.560652,0.113149,4.4
67.308960,2.574983,0.116059,4.5
67.291626,2.589388,0.118985,4.6
67.274200,2.603870,0.121928,4.7
67.256683,2.618429,0.124887,4.8
67.239075,2.633064,0.127862,4.9
67.221367,2.647776,0.130854,5.0
67.203568,2.662566,0.133863,5.1
67.185677,2.677434,0.136889,5.2
67.167686,2.692380,0.139931,5.3
67.149605,2.707404,0.142991,5.4
67.131424,2.722508,0.146067,5.5
67.113144,2.737691,0.149161,5.6
67.094772,2.752953,0.152272,5.7
67.076302,2.768296,0.155400,5.8
67.057732,2.783719,0.158546,5.9
67.039062,2.799222,0.161710,6.0
67.020294,2.814807,0.164890,6.1
67.001427,2.830473,0.168089,6.2
66.982460,2.846221,0.171306,6.3
66.963394,2.862051,0.174540,6.4
66.944229,2.877964,0.177792,6.5
66.924965,2.893960,0.181063,6.6
66.905594,2.910040,0.184351,6.7
66.886124,2.926203,0.187658,6.8
66.866554,2.942450,0.190983,6.9
66.846878,2.958781,0.194327,7.0
66.827103,2.975197,0.197689,7.1
66.807220,2.991699,0.201070,7.2
66.787231,3.008286,0.204470,7.3
66.767143,3.024959,0.207888,7.4
66.746948,3.041718,0.211326,7.5
66.726646,3.058564,0.214782,7.6
66.706238,3.075497,0.218258,7.7
66.685722,3.092518,0.221753,7.8
66.665100,3.109627,0.225267,7.9
66.644371,3.126823,0.228801,8.0
66.623535,3.144109,0.232354,8.1
66.602585,3.161483,0.235927,8.2
66.581528,3.178946,0.239519,8.3
66.560364,3.196500,0.243132,8.4
66.539085,3.214144,0.246764,8.5
66.517700,3.231878,0.250417,8.6
66.496201,3.249703,0.254089,8.7
66.474594,3.267620,0.257782,8.8
66.452873,3.285628,0.261495,8.9
66.431038,3.303728,0.265229,9.0
66.409088,3.321921,0.268983,9.1
66.387024,3.340207,0.272758,9.2
66.364853,3.358586,0.276554,9.3
66.342567,3.377058,0.280370,9.4
66.320160,3.395625,0.284208,9.5
66.297638,3.414286,0.288067,9.6
66.275002,3.433042,0.291946,9.7
66.252251,3.451894,0.295848,9.8
66.229378,3.470840,0.299770,9.9
66.206390,3.489883,0.303714,10.0
66.183289,3.509023,0.307680,10.1
66.160065,3.528259,0.311668,10.2
66.136719,3.547593,0.315677,10.3
